Date,High,Low,Open,Close,Volume,Adj Close
23-08-2005,262.1538391,259.8461609,261.5384521,261.3076782,1995864,161.5318604
24-08-2005,262.3076782,258,260.9230652,258,2520999,159.4871826
25-08-2005,258.615387,257,257.6923218,257.6923218,2130401,159.2969818
26-08-2005,258.0769348,256.2307739,257.6923218,256.7692261,2287857,158.7263031
29-08-2005,258.615387,254.615387,255.1538391,258.4615479,2415218,159.7724609
30-08-2005,258.1538391,252.6923065,257.6923218,255.6923065,3483207,158.0605927
31-08-2005,259.0769348,253.5384674,255.384613,258.5384521,3542149,159.8199463
01-09-2005,257.9230652,253.8461609,257.1538391,254.9230804,3499223,157.5851288
02-09-2005,257.384613,255.4615326,256.9230652,256.384613,2619071,158.4886017
06-09-2005,261.384613,257.3076782,257.3076782,261.0769348,3573271,161.389267
07-09-2005,261.9230652,259.0769348,260.6923218,261.615387,2848768,161.7220764
08-09-2005,261.615387,259.4615479,261.615387,260.384613,2324231,160.9612579
09-09-2005,263.3076782,260.7692261,261.0769348,261.384613,2528240,161.5794678
12-09-2005,265.615387,261.4615479,261.5384521,264.8461609,3123029,163.7192688
13-09-2005,264.9230652,262,264.2307739,263.6923218,2760732,163.0059662
14-09-2005,264.7692261,261.5384521,263.615387,261.9230652,2188615,161.9122772
15-09-2005,264.615387,262.0769348,262.0769348,264.4615479,2450643,163.4814911
16-09-2005,266,263.2307739,265.5384521,265.1538391,5215405,163.9094696
19-09-2005,264.0769348,260.6923218,263.8461609,261.9230652,3077425,161.9122772
20-09-2005,263.2307739,259.615387,262.615387,260.3076782,2481141,160.9136658
21-09-2005,259.5384521,257.6923218,257.8461609,258.0769348,2861365,159.5347443
22-09-2005,258,255.0769196,256.384613,256.1538391,2825446,159.3911438
23-09-2005,258.3076782,255.8461609,256.1538391,256.9230652,2031900,159.8697205
26-09-2005,258.615387,254.8461609,258.3076782,255.9230804,2533479,159.2475586
27-09-2005,260.3076782,255.5384674,257.4615479,258.7692261,2836782,161.0185547
28-09-2005,259.2307739,255.8461609,259.0769348,257.615387,2181959,160.3005524
29-09-2005,259.615387,254.4615326,256.1538391,258.8461609,2870569,161.0664063
30-09-2005,259.7692261,256.4615479,258.8461609,259,2765685,161.1621246
03-10-2005,258.6923218,255.384613,258.4615479,255.615387,3153787,159.0561218
04-10-2005,257.3076782,252.6923065,256.384613,252.6923065,3523637,157.2372131
05-10-2005,254.615387,251.3076935,253.0769196,251.384613,2994420,156.4234772
06-10-2005,259.5384521,255.2307739,255.2307739,258.384613,4348240,160.7792206
07-10-2005,263.8461609,259.0769348,260.7692261,263.2307739,3734458,163.7947083
10-10-2005,263.7692261,261.2307739,263.3076782,261.4615479,2285543,162.6938629
11-10-2005,262.1538391,259.1538391,261.4615479,260,2376543,161.7844086
12-10-2005,261.9230652,258.3076782,258.3076782,260,2405507,161.7844086
13-10-2005,263.1538391,259.615387,259.615387,261.6923218,2604420,162.8374634
14-10-2005,265.2307739,262.3076782,264.615387,264.1538391,3610906,164.3690796
17-10-2005,265.384613,261.0769348,263.1538391,261.615387,3114813,162.789566
18-10-2005,264.7692261,261.1538391,261.5384521,261.5384521,2580318,162.7416229
19-10-2005,264.6923218,260.7692261,261,264.6923218,2998723,164.7042084
20-10-2005,265.0769348,259.5384521,265.0769348,260.615387,2656043,162.1673126
21-10-2005,262.0769348,258.8461609,261.1538391,259.4615479,2925468,161.4493408
24-10-2005,262.615387,259.6923218,259.6923218,262.5384521,2147470,163.3640137
25-10-2005,262.5384521,258.6923218,261.615387,260.8461609,2434640,162.3109131
26-10-2005,263.0769348,259.1538391,261.384613,259.2307739,2803242,161.3057556
27-10-2005,259.1538391,257,258.6923218,258.3076782,2236936,160.7313538
28-10-2005,262.2307739,257.8461609,259.0769348,261.9230652,2809885,162.9809723
31-10-2005,262.615387,260.3076782,261.5384521,260.8461609,3391505,162.3109131
01-11-2005,261.384613,258.0769348,261.3076782,258.4615479,2680613,160.8270569
02-11-2005,261.3076782,257.7692261,258.4615479,260.0769348,2978391,161.8322906
03-11-2005,262.6923218,260,260.7692261,261.384613,2339116,162.6459808
04-11-2005,262.3076782,259.615387,261.384613,261.6923218,2165514,162.8374634
07-11-2005,262.5384521,261.1538391,262.3076782,261.6923218,1936038,162.8374634
08-11-2005,261.1538391,259.4615479,260.615387,259.6923218,1926639,161.5929413
09-11-2005,262.6923218,259.3076782,260.384613,260.9230652,2319915,162.3587494
10-11-2005,267.2307739,260.9230652,261.3076782,265.384613,3779945,165.1349792
11-11-2005,267.5384521,264.615387,265.7692261,266.5384521,1794949,165.8529358
14-11-2005,266.615387,263.8461609,266.615387,264.615387,1848899,164.6562805
15-11-2005,266.3076782,263.7692261,264.6923218,264.615387,1946256,164.6562805
16-11-2005,267,264.2307739,264.5384521,265.6923218,2142231,165.3264923
17-11-2005,267.4615479,264.615387,266,266.615387,2095652,165.9008331
18-11-2005,275.384613,271.1538391,272.7692261,275,7691398,171.1180573
21-11-2005,279.5384521,274.2307739,275.0769348,278.4615479,4405908,173.2720947
22-11-2005,278.6923218,276.0769348,277.3076782,277.384613,3345134,172.6019592
23-11-2005,278,276.2307739,277.3076782,276.4615479,2278705,172.0275726
25-11-2005,278.615387,276.3076782,276.9230652,278.4615479,1212991,173.2720947
28-11-2005,278.4615479,276.4615479,278.4615479,276.7692261,2432053,172.2190094
29-11-2005,278.6923218,275.8461609,277.9230652,276.384613,3034915,171.9796906
30-11-2005,278.1538391,274.7692261,276.5384521,274.7692261,3160612,170.9745178
01-12-2005,276.1538391,274.1538391,275.7692261,275,2772692,171.1180573
02-12-2005,275,271.2307739,275,273.0769348,3307538,169.9214325
05-12-2005,275.8461609,272.3076782,272.4615479,275.1538391,3141112,171.2138367
06-12-2005,277.6923218,274.7692261,276.1538391,275.384613,3447314,171.3574371
07-12-2005,275.7692261,272.384613,275.384613,273.615387,3671317,170.2565308
08-12-2005,274.3076782,271.3076782,273.615387,271.9230652,2829372,169.2034912
09-12-2005,275.384613,271.8461609,272.5384521,273.3076782,2268253,170.065033
12-12-2005,274.8461609,272.6923218,274.3076782,273.4615479,1788917,170.1608429
13-12-2005,274.4615479,271.9230652,273.0769348,272.8461609,3300609,169.7778778
14-12-2005,276.0769348,273.4615479,274.384613,275.1538391,2847338,171.2138367
15-12-2005,278.1538391,275.1538391,276.4615479,276.9230652,4423939,172.3146973
16-12-2005,278.9230652,277.0769348,277.1538391,277.384613,4511429,172.6019592
19-12-2005,277.7692261,274.2307739,276.9230652,275.5384521,2739490,171.4531708
20-12-2005,274.9230652,272.1538391,274.384613,273.384613,2731157,170.1128693
21-12-2005,274.3076782,271.1538391,274.3076782,271.6923218,2970266,169.059967
22-12-2005,272.7692261,270.5384521,270.5384521,272.4615479,2272231,170.7470703
23-12-2005,273.615387,272.2307739,273.5384521,272.4615479,1392222,170.7470703
27-12-2005,273.8461609,269.4615479,273.615387,269.6923218,2218853,169.011673
28-12-2005,270.4615479,268.8461609,269.6923218,270.0769348,2183415,169.2526855
29-12-2005,272.6923218,270,270.0769348,270.6923218,2098395,169.6384277
30-12-2005,270.9230652,269.0769348,270.1538391,269.615387,2348151,168.9635162
03-01-2006,272.3076782,267.6923218,270,272.0769348,4318756,170.5061646
04-01-2006,272.3076782,270,271.9230652,271.6923218,3122223,170.265152
05-01-2006,271.9230652,270,271.3076782,271,2451501,169.8311615
06-01-2006,273.3076782,270.6923218,272.1538391,272.8461609,2870920,170.9881744
09-01-2006,272.5384521,271.0769348,272.3076782,272.1538391,2693080,170.5543213
10-01-2006,271.615387,269.615387,271.3076782,270.6923218,2735408,169.6384277
11-01-2006,273.4615479,270,270.3076782,272.5384521,2911272,170.7953796
12-01-2006,272.7692261,268.7692261,272.6923218,269.2307739,2880670,168.7224884
13-01-2006,271.1538391,267.6923218,268.4615479,270,2238158,169.2045288
17-01-2006,274.0769348,267.8461609,274.0769348,268.7692261,2088944,168.4332428
18-01-2006,268.5384521,266.2307739,268.4615479,267.8461609,2620059,167.8548126
19-01-2006,268.4615479,265.384613,268.4615479,266.7692261,3810586,167.1798706
20-01-2006,265.384613,255.5384674,263.8461609,256.6923218,11450062,160.8648224
23-01-2006,259,255.8461609,257.9230652,256.0769348,5045690,160.4792328
24-01-2006,258.0769348,253.1538391,258.0769348,253.5384674,6042296,158.8883514
25-01-2006,255.384613,251.1538391,255,252,6680141,157.9242096
26-01-2006,254.384613,251.8461609,253.3076935,254,6350773,159.177597
27-01-2006,254,251.9230804,253.4615326,253.4615326,5631353,158.8400879
30-01-2006,254.5384674,251.8461609,253.0769196,253.3076935,4599972,158.7438049
31-01-2006,253.6923065,251,253.0769196,251.9230804,5160259,157.8760071
01-02-2006,255.3076935,251.0769196,251.2307739,254.9230804,4948359,159.7560577
02-02-2006,256.0769348,252.9230804,254.384613,253.0769196,3960749,158.5991058
03-02-2006,254.9230804,252.0769196,252.3076935,252.6923065,3357588,158.3580933
06-02-2006,253,251.1538391,252.6923065,251.9230804,3011047,157.8760071
07-02-2006,251.7692261,247.7692261,251.2307739,248.5384674,4782791,155.7549133
08-02-2006,252.2307739,247.9230804,248.5384674,251.8461609,3478280,157.8278351
09-02-2006,254.1538391,252,252.1538391,253.2307739,3422029,158.6955719
10-02-2006,256.6923218,252.8461609,253.2307739,256,3452774,160.4308929
13-02-2006,257.384613,254.4615326,255.384613,255.7692261,2601027,160.2863617
14-02-2006,258,254.1538391,255.2307739,257.384613,3804437,161.2987061
15-02-2006,258,255.8461609,258,257.384613,2448121,161.2987061
16-02-2006,257.6923218,254.3076935,257.2307739,256.5384521,3105882,160.7684174
17-02-2006,258.5384521,256.0769348,256.5384521,258.5384521,3295370,162.0217743
21-02-2006,259.615387,255.5384674,258.5384521,256.615387,2587624,160.8166199
22-02-2006,259.615387,257.6923218,258.0769348,258.7692261,3343847,162.1664124
23-02-2006,257.384613,255.4615326,255.7692261,255.8461609,2879279,161.5350189
24-02-2006,256.2307739,254,255.7692261,254.9230804,2375646,160.952179
27-02-2006,256.5384521,254.6923065,255.5384674,256.3076782,2512614,161.8264008
28-02-2006,256.1538391,252.6923065,255.384613,252.8461609,3600987,159.6409302
01-03-2006,254.0769196,251.5384674,253.615387,252,3184077,159.1066437
02-03-2006,253.1538391,250.615387,251.5384674,252.6923065,3267888,159.5437622
03-03-2006,256.4615479,251.7692261,251.9230804,254.3076935,3323125,160.5636749
06-03-2006,255.7692261,253.4615326,254.3076935,254.615387,2783378,160.7579803
07-03-2006,255.6923065,253.9230804,254.1538391,255,2827344,161.0007477
08-03-2006,257.9230652,253.9230804,254.3076935,257.1538391,3260543,162.3606415
09-03-2006,258,255.0769196,256.7692261,255.384613,3147495,161.2436218
10-03-2006,259.0769348,255.8461609,256,258.8461609,3350009,163.4291229
13-03-2006,259.4615479,257.1538391,258.9230652,259,2537496,163.5262299
14-03-2006,260.384613,257.5384521,257.6923218,259.8461609,2553070,164.0605316
15-03-2006,265.5384521,259.8461609,259.8461609,264.7692261,4755010,167.1688232
16-03-2006,266.9230652,264.1538391,266.5384521,264.4615479,4076280,166.9745636
17-03-2006,267.384613,264.615387,265.1538391,265.4615479,5277454,167.6059265
20-03-2006,266.9230652,264.615387,265.6923218,265.384613,2096354,167.5573425
21-03-2006,266.8461609,263.6923218,265.4615479,264.1538391,2605031,166.7802887
22-03-2006,265.9230652,264.1538391,264.4615479,265.615387,2099890,167.7030029
23-03-2006,265.1538391,261.615387,265,262.4615479,2675725,165.7118225
24-03-2006,262.5384521,260.6923218,261.7692261,261.1538391,1878383,164.8861694
27-03-2006,261.0769348,259.1538391,260.5384521,259.9230652,1965184,164.1090698
28-03-2006,260.384613,257.615387,259.3076782,258.4615479,2978001,163.186264
29-03-2006,261.8461609,258.0769348,258.0769348,261,3254810,164.7890472
30-03-2006,267.3076782,261.9230652,262.0769348,266.5384521,5675696,168.2858582
31-03-2006,269.2307739,267.0769348,267.2307739,267.5384521,4860258,168.9172363
03-04-2006,269.1538391,266.0769348,267.615387,266.8461609,2904863,168.4801636
04-04-2006,268.2307739,264,268.2307739,266.9230652,2803580,168.5287323
05-04-2006,267.2307739,264.5384521,266.5384521,264.7692261,2540590,167.1688232
06-04-2006,265.7692261,262.4615479,263.8461609,265.4615479,2628600,167.6059265
07-04-2006,267.3076782,261.615387,265.7692261,261.7692261,3079687,165.2746887
10-04-2006,262.1538391,260,262,260.9230652,2984085,164.7404327
11-04-2006,262.0769348,258.6923218,260.9230652,261.9230652,2985541,165.3717957
